source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
derived/reporting table,Reporting / result,💰💰💰135-Acc-WHOLE-MASTERLIST【基础-高四】,tblSRIi1vziEvRKG,141,4,0,"基础已进课室+英文名字; Account 高阶序号; 备注-转海星/消耗; 邮政编号; 高阶一1call(A,B,C,D); 高阶二后离开(A,B,C,D); 电话; 高阶二教练; 紧急联系人（姓名、关系、电话）; 全报; EMO 英文名字; 全款/订金; 基础确认期别; 高阶五已经课室; 基础已进课室人数; EMO 华语名字; 年收入; 公司规模 (多少人); 高阶SO/Transfer No. (A,B,C,D); EMO期别",❌-Acc-Whole Masterlist(不能删&不能动任何东西）; Acc基础; Acc高阶一; Acc高阶二,
legacy/archive table,Class Bible / people source,✅135-【旧Backlog进现行】WHOLE-MASTERLIST【Backlog进现行，一，二】高阶一bible,tblG37SwlkXmxlDG,133,5,0,"高阶一来的目的、急需解决的问题  (A,B,C,D); 高阶学费SST  (A,B,C,D); 客户等级; 毕业证 (A,B,C,D); 付费方式 (1); 补款; 基础已进课室（KLCP); 文字-3; 杂费定金余款 (A,B,C,D); 高阶一确认当班人数; 高阶一1 Call Status (A,B,C,D); 基础C1-3信息; 文字-4; 高阶二膳食费用  (A,B,C,D); 高阶二卓越宣言表  (A,B,C,D); 高阶一已进课室; 全款/订金; 基础1 Call Status; 基础报读日期; 高阶付费方式_1  (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础Final Masterlist-守则离开】; 【高一】Masterlist; 【高一】Masterlist Copy,
derived/reporting table,Reporting / result,🖊️🖊️135-基础FINAL MASTERLIST,tblVzx9yzXlNnnYx,133,1,0,"高阶二确认当班 (A,B,C,D); 高阶付费方式_1  (A,B,C,D); 高阶二已进课室 (A,B,C,D); 付费方式; 基础报读日期; 婚姻; 客户等级; 高阶二教练; 地址; 学号; 基础酒店人数; 市区; 杂费定金  (A,B,C,D); 文字-5; 基础C1-3信息; 高阶一已进课室人数; 高阶付费方式 (A,B,C,D); 总费用; 公司名称; 高阶一问卷(A,B,C,D)",基础Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️135-【基础守则离开】FINAL MASTERLIST,tbldWchpcdw1m8D1,133,1,0,"EMO 联络号码; 文字-3; 高阶二确认期别 (A,B,C,D); 高阶学费  (A,B,C,D); 邮箱; 高阶学费SST  (A,B,C,D); 报名时间段; 高阶二1call  (A,B,C,D); 华语名字; 基础阶段教练; 高阶一来的目的、急需解决的问题  (A,B,C,D); IC No; 信念系统当班  (A,B,C,D); 8%SST; 膳食; 基础已进课室（KLCP); 高阶二1 Call Status (A,B,C,D); 杂费定金补款  (A,B,C,D); 备注-转海星/消耗; 基础健康",基础Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️135-【基础Backlog】FINAL MASTERLIST,tbltSt4CWcauRc4C,132,1,0,"职位; 高阶一确认当班 (A,B,C,D); 报名时间段; 高阶二教练; 基础C1-4信息; 高阶二1 Call Status (A,B,C,D); 文字-3; 结果期别; 高阶二确认当班 (A,B,C,D); 公司名称; 课室内名单; 邮箱; Tax invoice name; 总费用; 基础确认期别; 公司规模 (多少人); 基础学费; 高阶一C1-4信息  (A,B,C,D); 2 Call Status /学员的位置  (A,B,C,D); 信念系统当班  (A,B,C,D)",基础Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️-135-高阶一-【高阶一Backlog】Final Masterlist,tblpwQX2B0iCYpuA,138,1,0,"高阶-Invoice Name; 高阶健康面谈; 高阶一C1-4信息  (A,B,C,D); 2 Call Status /学员的位置  (A,B,C,D); 膳食费用; 高阶二已进课室人数; 基础1call; 婚姻; 酒店费用; 高阶二膳食费用  (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); 电话; 高阶一教练; 高阶SO/Transfer No. (A,B,C,D); 基础2Call; 结果期别; 高阶四已进课室; 高阶二后离开原因; 基础1 Call Status; 高阶一1 Call Status (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Reporting / result,🖊️-135-高阶一-FINAL MASTERLIST ,tblcxkkpaSKyclrU,138,1,0,"高阶二后离开原因; 高阶二膳食费用  (A,B,C,D); 酒店费用; 高阶转名额; 性别; 紧急联系人（姓名、关系、电话）; 基础2Call Status
来的目的、急需解决的问题; 结果期别; 高阶二1call  (A,B,C,D); 基础已进课室（KLCP); 全报; 高阶一C1-4信息  (A,B,C,D); 杂费定金付费方式_高二  (A,B,C,D); 伸展（A); 地址; 信念系统日期  (A,B,C,D); 团队干部 (A,B,C,D); 杂费定金付费方式 (A,B,C,D); 高阶总费用 (A,B,C,D); 年收入",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️-135-高阶一-【守则后离开】Final Masterlist,tblyxQAHmiojMAVH,138,1,0,"高阶二2Call  (A,B,C,D); 基础2Call Status
来的目的、急需解决的问题; 酒店费用; Tax invoice name; 信念系统当班  (A,B,C,D); 基础学费; 高阶一C1-4信息  (A,B,C,D); 毕业证 (A,B,C,D); 2 Call Status /学员的位置  (A,B,C,D); IC No; 基础健康面谈; 行业性质; 高阶二后离开原因; 高阶二确认期别 (A,B,C,D); 高阶定金 (A,B,C,D); 高阶二酒店费用  (A,B,C,D); 紧急联系人（姓名、关系、电话）; 基础阶段教练; 基础离开; EMO 联络号码",❌Whole Masterlist(不能删&不能动任何东西）,
working table,DOE / declaration,✅A0-135高一-10天宣告,tbl0Xv7jas5ibl5F,7,1,0,C.10天宣告; 中心Call时间 （星期几 + 几点am/pm); SourceID; 学员名字（还没有链接）; 指引负责人_; 教练; 学员,135高阶一宣告,
working table,Profile / roster,📞海星名单-学员 (KLCP128),tblpJQAwTUC6W51q,13,1,0,Chinese Name; SourceID; 1.基础确认期别; IC Number; EMO Chinese Name; EMO Contact Number; Prospect ID; IC Name (English); EMO IC Name (English); EMO Class Code; Class Code; Contact Number; 1.基础确认当班,Whole,
working table,Profile / roster,📞海星名单-教练 (KLCP128)1,tblNFnLB2rUOkBDf,15,1,0,3C Status; Class Code; IC Number; 1.基础确认期别; EMO Contact Number; EMO IC Name (English); Contact Number; SourceID; Prospect ID; EMO Class Code; EMO Chinese Name; Chinese Name; 1.基础确认当班; IC Name (English); Notes / Remarks,Whole,
working table,Profile / roster,💲海星名单-教练 (KLCP128),tblav8RFXGjNEThy,7,1,0,Class Code; 余款; Chinese Name; IC Name (English); SourceID; Prospect ID; Payment Status,Whole,
working table,Profile / roster,💲海星名单-学员 (KLCP128),tbloUbXlCo1aoeYn,13,1,0,EMO IC Name (English); Contact Number; IC Name (English); EMO Chinese Name; 余款; Chinese Name; Class Code; EMO Class Code; Payment Status; SourceID; EMO Contact Number; Prospect ID; IC Number,Whole,
working table,Backlog / legacy / lifecycle,✅基础BackLog,tblsE8KchD2fSDdx,170,2,0,"公司名称; 字段 119; 膳食; 基础1call; 基础健康面谈; 字段 134; 杂费定金付费方式 (A,B,C,D); 高阶二2Call  (A,B,C,D); 高阶学费SST  (A,B,C,D); 基础2Call Status
来的目的、急需解决的问题; IC No; 高阶二卓越宣言表  (A,B,C,D); 字段 141; 电话; 高阶转名额; 字段 146; 团队干部 (A,B,C,D); 膳食费用; 付费方式; 高阶一教练",Bible; 基础Masterlist(基础已进课室）,
working table,Other,✅高阶下车,tblA2eD2YNtRa7YT,170,2,0,"高阶付费方式 (A,B,C,D); 父记录; 字段 124; 字段 132; 付费方式; 公司规模 (多少人); 基础1call; 高阶转名额; 字段 141; 誓约 （A); EMO 英文名字; 紧急联系人（姓名、关系、电话）; 高阶二已进课室 (A,B,C,D); 酒店费用; IC No; 字段 102; 字段 134; 基础C1-4信息; 性别; 年龄",Bible; 基础Masterlist(基础已进课室）,
working table,Backlog / legacy / lifecycle,✅高阶Backlog,tblKAywNLQTKnZOx,170,2,0,"字段 134; 信念系统日期  (A,B,C,D); 高阶一1call(A,B,C,D); 高阶报读日期  (A,B,C,D); 高阶定金 (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); 高阶SO/Transfer No. (A,B,C,D); 基础确认当班; 基础1call; 杂费定金余款 (A,B,C,D); 生日日期; 紧急联系人（姓名、关系、电话）; 字段 116; Tax invoice name; 全报; 高阶一2CalL (A,B,C,D); 州; 高阶四已进课室; 杂费定金补款  (A,B,C,D); 酒店费用",Bible; 基础Masterlist(基础已进课室）,
working table,Working / data entry,高阶二2Call,tblgjag0yfLkSa6Q,141,1,0,字段 119; 字段 109; 字段 70; 字段 1; 字段 6; 字段 71; 字段 104; 字段 69; 字段 19; 字段 86; 3 Massage; 字段 48; 事业状态; 字段 83; 字段 39; 字段 91; 字段 30; 字段 117; 字段 61; 字段 45,表格,
working table,DOE / declaration,【高二】事业成就表,tblpQsvY5CSgvCBW,28,2,0,【事业2】宣告; 年龄; 【家庭1对象】; 高阶二进课室; 公司名称; 高阶一教练; 华语名字; 【事业1】-定义; 序号——; 年历; 行业性质; 性别; 高阶二教练; 职位; 孩子; Emo期别; 基础已进课室+英文名字; 结果期别; 婚姻; 基础阶段教练,【高二】事业成就表; 教练小组,
working table,DOE / declaration,✅135-高二工作坊DOE宣告（开班前）,tblECcUtWpqFdudN,29,1,0,日期; 赢的时间 Winning Time（130提早赢 Win-early）; 海星宣告; 年资历 (年) Work experience (Years); 事业性质（行业）Career Type; 家庭关系从0-10分_; 事业2 百分比; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 每周监测点 Weekly Check Point; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 收入 Income; 公司名字 Company name; SourceID; 职位Position; 事业3-宣告目标; 事业1 百分比; 事业1 - 宣告目标  （数字）; 事业3 百分比; 事业3-宣告; 复选框,KLCP135 DOE,
derived/reporting table,Reporting / result,🖊️-135-高阶二-Final Masterlist,tblPhMX99pOd8cWV,139,1,0,"高阶二C1-4信息  (A,B,C,D); 学员/教练; 基础2Call; 高阶二后离开原因; 高阶二1 Call Status (A,B,C,D); 备注; 高阶一摇篮曲(A,B,C,D); 全款/订金; 基础问卷; 余款; 高阶一确认期别人数; IC No; 高阶一离开 (A,B,C,D); 高阶二卓越宣言表  (A,B,C,D); 婚姻; 高阶四已进课室; 付费方式 (1); SO/Transfer No.; 毕业证 (A,B,C,D); 孩子",❌Whole Masterlist(不能删&不能动任何东西）,
working table,Class Bible / people source,🖊️-135-高阶二-【高阶二Backlog】Bible,tbl1VeraRo7TOX0Q,138,1,0,"杂费定金余款 (A,B,C,D); 高阶一2CalL (A,B,C,D); 基础报读日期; 基础阶段教练; 结果期别; 高阶SO/Transfer No. (A,B,C,D); 膳食费用; 英文名字; 高阶三已进课室; 高阶二卓越宣言表  (A,B,C,D); 定金; 高阶一C1-4信息  (A,B,C,D); 基础1 Call Status; 报名时间段; 市区; 高阶付费方式_1  (A,B,C,D); 酒店费用; 邮箱; 高阶二总费用  (A,B,C,D); 邮政编号",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Reporting / result,🔥-学员海星个人结果,tblEjwSIdBxlDwkp,5,1,0,学员; 查找引用; 文本; 行动; 教练,表格,
working table,DOE / declaration,✅A0-135高一-10天宣告1,tblazgSYbstcKrYa,14,1,0,指引负责人_; C.10天宣告; 什么原因是这个对象？：; 什么原因是小目标？：; 事业给与什么价值：; 事业性质; 学员; SourceID; 学员名字（还没有链接）; 家庭对象1：; 中心Call时间 （星期几 + 几点am/pm); 教练; 事业定义（赢的标准）; 事业总宣告,135高阶一宣告,
