source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
legacy/archive table,Class Bible / people source,✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.,tblYAlPkFE7sPELF,141,26,0,"高阶二1call  (A,B,C,D); 紧急联系人（姓名、关系、电话）; 文字-3; 高阶一C1-3信息  (A,B,C,D); 年龄; EMO期别; 基础报读日期; 公司名称; 备注; 杂费定金  (A,B,C,D); IC No; 高阶一C1-4信息  (A,B,C,D); 高阶一已进课室; 行业性质; 高阶健康; 学员/教练; 付费方式 (1); 基础转名额; 婚姻; 文字-6",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account,
derived/reporting table,Reporting / result,🖊️🖊️136-基础FINAL MASTERLIST,tbl3o00MSTdj8IKu,141,2,0,"高阶二2Call  (A,B,C,D); 课室内名单; 性别; 高阶一已进课室人数; 高阶五已经课室; 高阶二膳食费用  (A,B,C,D); 高阶二1 Call Status (A,B,C,D); 8%SST; 高阶总费用 (A,B,C,D); 高阶二总费用  (A,B,C,D); 信念系统日期  (A,B,C,D); 高阶一确认当班 (A,B,C,D); EMO 华语名字; 高阶二确认当班 (A,B,C,D); 【报到】高阶一几点到; 报名时间段; 基础1call; 基础确认期别; 客户等级; 高阶一离开 (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; 结果期别,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.,tblixDC3NkhCkEZO,141,1,0,"基础已进课室人数; 高阶一确认当班 (A,B,C,D); 个人海星位置; 杂费定金付费方式 (A,B,C,D); IC No; 【报到】高阶一几点到; 基础转名额; 基础2Call Status
来的目的、急需解决的问题; 高阶付费方式 (A,B,C,D); 高阶一教练; 高阶一已进课室; 高阶学费  (A,B,C,D); 学员/教练; 高阶二后离开(A,B,C,D); 性别; 杂费定金付费方式_高二  (A,B,C,D); 杂费定金余款 (A,B,C,D); 基础健康面谈; 高阶二1call  (A,B,C,D); 基础学费",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.,tblsTRd73wlyC1Vq,141,1,0,"备注; 高阶四已进课室; 高阶二酒店费用  (A,B,C,D); 高阶五已经课室; 补款; 年历; 高阶二确认期别 (A,B,C,D); 电话; 高阶二1call  (A,B,C,D); 高阶转名额; 年收入; 高阶一1call(A,B,C,D); 高阶一确认当班人数; 高阶学费  (A,B,C,D); 个人海星位置; 高阶一确认当班 (A,B,C,D); 课室内名单; 高阶一C1-3信息  (A,B,C,D); 地址; 高阶一问卷(A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.,tblHLDlRApL2TxX4,141,1,0,"信念系统当班  (A,B,C,D); 付费方式 (1); 高阶二2Call  (A,B,C,D); 高阶二后离开原因; 高阶总费用 (A,B,C,D); 【报到】高阶二几点到; 杂费定金付费方式_高二  (A,B,C,D); 定金; 高阶转名额; 高阶一确认当班人数; 地址; 职位; 高阶二已进课室 (A,B,C,D); 高阶二膳食费用  (A,B,C,D); 基础报读日期; 高阶二1call  (A,B,C,D); 高阶定金 (A,B,C,D); 高阶报读日期  (A,B,C,D); EMO 联络号码; 客户等级",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Reporting / result,🖊️-136-高阶一-FINAL MASTERLIST,tblg5TWNiThHFXmZ,141,1,0,"高阶 - 全款/订金; 高阶三已进课室; 高阶一已进课室; 高阶补款 (A,B,C,D); 高阶二1 Call Status (A,B,C,D); 基础问卷; 高阶二后离开原因; 高阶四已进课室人数; 高阶一酒店费用  (A,B,C,D); 基础酒店人数; 补款; 余款; 付费方式; 总费用; 基础离开; 高阶SO/Transfer No. (A,B,C,D); 酒店费用; 性别; 誓约 （A); 基础1call",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Backlog / legacy / lifecycle,🖊️-136-高阶一-【守则后离开】Final Masterlist.,tblXMB7pANylOuoz,141,1,0,"高阶一已进课室; 高阶报读日期  (A,B,C,D); 高阶四已进课室人数; 高阶转名额; 邮箱; EMO期别; 结果期别; 高阶二后离开原因; 基础问卷; 基础确认当班; 高阶一确认期别 (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); 市区; SO/Transfer No.; 基础已进课室（KLCP); 客户等级; 高阶定金 (A,B,C,D); 高阶五已经课室; 高阶二酒店费用  (A,B,C,D); 高阶二1 Call Status (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）,
working table,DOE / declaration,✅A0-136_高一-10天宣告,tblG4w8jVbBDtqwd,13,1,0,家庭对象1：; 什么原因是这个对象？：; 学员; 学员名字（还没有链接）; 指引负责人_; 事业给与什么价值：; 事业定义（赢的标准）; SourceID; 教练; 什么原因是小目标？：; 事业性质; 事业总宣告; 中心Call时间 （星期几 + 几点am/pm),136高阶一宣告,
working table,DOE / declaration,✅A0-136高一-10天宣告,tblyuNxnenlj9kfY,15,1,0,指引负责人_; 什么原因是这个对象？：; 总教验收; 事业总宣告; SourceID; 总教备注; 事业定义（赢的标准）; 华语名字; 事业性质; 什么原因是小目标？：; 教练; 事业给与什么价值：; 中心Call时间 （星期几 + 几点am/pm); 学员名字（还没有链接）; 家庭对象1：,133高阶一宣告,
working table,Working / data entry,高阶二2Call,tblhJfcDFuIYm1d4,141,1,0,字段 113; 字段 10; 字段 87; 字段 27; 字段 77; 字段 4; 字段 73; 字段 106; 字段 59; 字段 64; 字段 5; 字段 97; 字段 12; 字段 80; 字段 85; 字段 118; 字段 8; 字段 60; 字段 54; 字段 104,表格,
working table,DOE / declaration,【高二】事业成就表,tblhq5WHye1s3dia,28,3,0,性别; 高阶二教练; 高阶一教练; 行业性质; 年收入; 高阶二进课室; 英文名字; 职位; Lark【新收入】; 【事业2】宣告; 孩子; 【家庭1对象】; 基础已进课室+英文名字; 年历; 基础阶段教练; 公司规模 (多少人); 公司名称; 华语名字; Emo期别; 结果期别,【高二】事业成就表; 【高二】事业成就表 副本; 教练小组,
working table,DOE / declaration,✅高二工作坊DOE宣告（开班前）,tblkhMgczjHRF0tu,29,1,0,教练; 收入 Income; 公司名字 Company name; 家庭关系从0-10分_; 事业3-宣告; 学员; 事业2-宣告定义(赢得标准）; 海星宣告; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 事业2 - 宣告目标 （数字）; 年资历 (年) Work experience (Years); 电子邮件 Email Address; 事业1 百分比; 事业3 百分比; 事业1-宣告定义(赢得标准）; 职位Position; SourceID; 事业性质（行业）Career Type; 家庭愿景 Family Vision; 什么原因想在的关系是这个分数,高阶二工作坊,
legacy/archive table,DOE / declaration,✅135-高二工作坊DOE宣告（开班前）,tblDonTPhFNcDVCj,29,1,0,事业3 百分比; 职位Position; 事业1 百分比; SourceID; 事业1 - 愿景 Career Vision(承诺创造什么价值对于事业，为什么重要？）; 海星宣告; 家庭愿景 Family Vision; 事业性质（行业）Career Type; 家庭关系从0-10分_; 家庭新反应对象1 Family Member （关系/ 华语名字     Relationship And Name  ）举例：妈妈/林美铃; 日期; 事业1 - 宣告目标  （数字）; 什么原因想在的关系是这个分数; 公司名字 Company name; 父记录; 复选框; 事业2-宣告定义(赢得标准）; 电子邮件 Email Address; 事业3-宣告; 每周监测点 Weekly Check Point,KLCP135 DOE,
derived/reporting table,Reporting / result,🖊️-136-高阶二-Final Masterlist.,tblFDFggY4R0QWHw,141,1,0,"酒店费用; 高阶余款  (A,B,C,D); 基础健康面谈; 基础已进课室+英文名字; 州; 职位; EMO 英文名字; 高阶一确认当班 (A,B,C,D); 余款; 高阶四已进课室; 基础阶段教练; 高阶一1 Call Status (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); Mark有约意愿度; 毕业证 (A,B,C,D); 高阶四已进课室人数; 年收入; 高阶SO/Transfer No. (A,B,C,D); 高阶转名额; 备注",❌Whole Masterlist(不能删&不能动任何东西）,
working table,Class Bible / people source,🖊️-136-高阶二-【高阶二Backlog】Bible,tblLpp3oe4eUiAdt,141,1,0,"公司规模 (多少人); 高阶SO/Transfer No. (A,B,C,D); 高阶健康面谈; 英文名字; 高阶二已进课室 (A,B,C,D); 高阶二后离开原因; 高阶二1 Call Status (A,B,C,D); 高阶二C1-4信息  (A,B,C,D); 高阶学费  (A,B,C,D); 性别; 高阶二膳食费用  (A,B,C,D); 基础离开; 邮政编号; 信念系统日期  (A,B,C,D); 高阶一已进课室人数; 市区; 定金; 电话; 基础问卷; 基础C1-3信息",❌Whole Masterlist(不能删&不能动任何东西）,
derived/reporting table,Reporting / result,🔥-学员海星个人结果,tbl9x3xLfzzlbtMO,5,1,0,教练; 学员; 查找引用; 文本; 行动,表格,
